Compagnie,Prime,ID,TypeBesoin,TypeBesoinDetails,AgeCar,OtherDriver,CarteGrise,Genre,DateNaissance,Age,SituationMatrimoniale,Profession,DateObtentionPermis,ConduiteAccompagné,DateNaissanceConjoint,DatePermisConjoint,Enfants_a_charge,Annee_Enfant_1,Annee_Enfant_2,Annee_Enfant_3,DateAchat,DateAchat_Prevue,DateCirculation,ID_vehicule_occasion,Marque_occasion,Modele_occasion,Alimentation_occasion,Carrosserie_occasion,Puissance_occasion,categorie_commerciale_vehicule_occasion,qualification_vehicule_vert_occasion,valeur_a_neuf_vehicule_ocassion,groupe_tarification_vehicule_occasion,classe_tarification_vehicule_occasion,code_type_frequence_bdg_occasion,code_type_cout_bdg_occasion,code_vente_vehicule_occasion,code_type_frequence_rcm_occasion,code_type_frequence_rcc_occasion,code_type_frequence_dta_occasion,code_type_frequence_vol_occasion,Marque_vehicule_neuf,Modele_vehicule_neuf,Alimentation_vehicule_neuf,Carrosserie_vehicule_neuf,Puissance_vehicule_neuf,ID_vehicule_neuf,valeur_a_neuf_vehiculeNeuve,groupe_tarification_vehicule_Neuve,classe_tarification_vehicule_Neuve,puissance_reel_vehicule_Neuve,categorie_commerciale_vehicule_Neuve,code_type_frequence_rcm_Neuve,code_type_frequence_rcc_Neuve,code_type_cout_rcm_Neuve,code_type_frequence_dta_Neuve,qualification_vehicule_vert_Neuve,code_type_frequence_vol_Neuve,code_type_cout_vol_Neuve,code_type_frequence_bdg_Neuve,code_type_cout_bdg_Neuve,code_vente_vehicule_Neuve,ModeFinancement,Usage,KmParcours,CP_Stationnement,Ville_Stationnement,ResidenceType,TypeLocation,CP_Travail,Ville_Travail,nom_departement,code_departement,code_region,Type_Parking,TypeAssure,NbreAnneeAssure,Bonus,NbreAnneePossessionVeh,CtrActuel,AssureurActuel,NiveauProtection,Date_scraping
"	
GMF",330 €,11593,Vous comptez l'acheter,D'une voiture supplémentaire,Neuve,Non,Vous,Un homme,09/01/1940,84,Marié(e),Salarié Cadre,04/1961,Non,09/09/1942,,Oui,2001,2016,non,N/A,25/05/2025,08/2005,RE43439,RENAULT,TRAFIC,CARB,FGN,10,U1,0,27089,13,C,6,4,99,14,7,6,9,TOYOTA,PROACE CITY,CARB,FTE,6,TO49065,31050,14,E,130,M1,8,4,8,5,0,3,9,5,11,99,L,2,20000,39240,39062,2,1,47300,47146,Jura,39,27,P,P,63,120,0,E,76,C,19/09/2024
"	
MAAF Assurances",366 €,11593,Vous comptez l'acheter,D'une voiture supplémentaire,Neuve,Non,Vous,Un homme,09/01/1940,84,Marié(e),Salarié Cadre,04/1961,Non,09/09/1942,,Oui,2001,2016,non,N/A,25/05/2025,08/2005,RE43439,RENAULT,TRAFIC,CARB,FGN,10,U1,0,27089,13,C,6,4,99,14,7,6,9,TOYOTA,PROACE CITY,CARB,FTE,6,TO49065,31050,14,E,130,M1,8,4,8,5,0,3,9,5,11,99,L,2,20000,39240,39062,2,1,47300,47146,Jura,39,27,P,P,63,120,0,E,76,C,19/09/2024
"	
Active Assurances",376 €,11593,Vous comptez l'acheter,D'une voiture supplémentaire,Neuve,Non,Vous,Un homme,09/01/1940,84,Marié(e),Salarié Cadre,04/1961,Non,09/09/1942,,Oui,2001,2016,non,N/A,25/05/2025,08/2005,RE43439,RENAULT,TRAFIC,CARB,FGN,10,U1,0,27089,13,C,6,4,99,14,7,6,9,TOYOTA,PROACE CITY,CARB,FTE,6,TO49065,31050,14,E,130,M1,8,4,8,5,0,3,9,5,11,99,L,2,20000,39240,39062,2,1,47300,47146,Jura,39,27,P,P,63,120,0,E,76,C,19/09/2024
"	
Groupe Allianz",513 €,11593,Vous comptez l'acheter,D'une voiture supplémentaire,Neuve,Non,Vous,Un homme,09/01/1940,84,Marié(e),Salarié Cadre,04/1961,Non,09/09/1942,,Oui,2001,2016,non,N/A,25/05/2025,08/2005,RE43439,RENAULT,TRAFIC,CARB,FGN,10,U1,0,27089,13,C,6,4,99,14,7,6,9,TOYOTA,PROACE CITY,CARB,FTE,6,TO49065,31050,14,E,130,M1,8,4,8,5,0,3,9,5,11,99,L,2,20000,39240,39062,2,1,47300,47146,Jura,39,27,P,P,63,120,0,E,76,C,19/09/2024
"	
Groupe AXA",1 340 €,11593,Vous comptez l'acheter,D'une voiture supplémentaire,Neuve,Non,Vous,Un homme,09/01/1940,84,Marié(e),Salarié Cadre,04/1961,Non,09/09/1942,,Oui,2001,2016,non,N/A,25/05/2025,08/2005,RE43439,RENAULT,TRAFIC,CARB,FGN,10,U1,0,27089,13,C,6,4,99,14,7,6,9,TOYOTA,PROACE CITY,CARB,FTE,6,TO49065,31050,14,E,130,M1,8,4,8,5,0,3,9,5,11,99,L,2,20000,39240,39062,2,1,47300,47146,Jura,39,27,P,P,63,120,0,E,76,C,19/09/2024
"	
MAAF Assurances",410 €,11583,Vous comptez l'acheter,D'une voiture en remplacement,Neuve,Non,Vous,Une femme,16/05/1997,27,Célibataire,Salarié,10/2020,Non,,,Non,non,non,non,N/A,03/05/2025,03/2024,FO46025,FORD,MUSTANG,CARB,CAB,34,H,0,56400,16,J,7,13,99,7,5,13,9,TOYOTA,C-HR II,EH,VTC,8,TO58007,47400,15,H,152,M1,7,3,10,5,1,3,12,5,12,99,D,1,1000,70270,70498,2,1,94440,94048,Haute-Saône,70,27,C,P,3,0.85,0,E,1,C,19/09/2024
"	
Groupe AXA",454 €,11583,Vous comptez l'acheter,D'une voiture en remplacement,Neuve,Non,Vous,Une femme,16/05/1997,27,Célibataire,Salarié,10/2020,Non,,,Non,non,non,non,N/A,03/05/2025,03/2024,FO46025,FORD,MUSTANG,CARB,CAB,34,H,0,56400,16,J,7,13,99,7,5,13,9,TOYOTA,C-HR II,EH,VTC,8,TO58007,47400,15,H,152,M1,7,3,10,5,1,3,12,5,12,99,D,1,1000,70270,70498,2,1,94440,94048,Haute-Saône,70,27,C,P,3,0.85,0,E,1,C,19/09/2024
"	
Groupe Admiral",576 €,11583,Vous comptez l'acheter,D'une voiture en remplacement,Neuve,Non,Vous,Une femme,16/05/1997,27,Célibataire,Salarié,10/2020,Non,,,Non,non,non,non,N/A,03/05/2025,03/2024,FO46025,FORD,MUSTANG,CARB,CAB,34,H,0,56400,16,J,7,13,99,7,5,13,9,TOYOTA,C-HR II,EH,VTC,8,TO58007,47400,15,H,152,M1,7,3,10,5,1,3,12,5,12,99,D,1,1000,70270,70498,2,1,94440,94048,Haute-Saône,70,27,C,P,3,0.85,0,E,1,C,19/09/2024
"	
Active Assurances",638 €,11583,Vous comptez l'acheter,D'une voiture en remplacement,Neuve,Non,Vous,Une femme,16/05/1997,27,Célibataire,Salarié,10/2020,Non,,,Non,non,non,non,N/A,03/05/2025,03/2024,FO46025,FORD,MUSTANG,CARB,CAB,34,H,0,56400,16,J,7,13,99,7,5,13,9,TOYOTA,C-HR II,EH,VTC,8,TO58007,47400,15,H,152,M1,7,3,10,5,1,3,12,5,12,99,D,1,1000,70270,70498,2,1,94440,94048,Haute-Saône,70,27,C,P,3,0.85,0,E,1,C,19/09/2024
"	
Groupe Vilavi",655 €,11583,Vous comptez l'acheter,D'une voiture en remplacement,Neuve,Non,Vous,Une femme,16/05/1997,27,Célibataire,Salarié,10/2020,Non,,,Non,non,non,non,N/A,03/05/2025,03/2024,FO46025,FORD,MUSTANG,CARB,CAB,34,H,0,56400,16,J,7,13,99,7,5,13,9,TOYOTA,C-HR II,EH,VTC,8,TO58007,47400,15,H,152,M1,7,3,10,5,1,3,12,5,12,99,D,1,1000,70270,70498,2,1,94440,94048,Haute-Saône,70,27,C,P,3,0.85,0,E,1,C,19/09/2024
