Compagnie,Prime,ID,TypeBesoin,TypeBesoinDetails,AgeCar,OtherDriver,CarteGrise,Genre,DateNaissance,Age,SituationMatrimoniale,Profession,DateObtentionPermis,ConduiteAccompagné,DateNaissanceConjoint,DatePermisConjoint,Enfants_a_charge,Annee_Enfant_1,Annee_Enfant_2,Annee_Enfant_3,DateAchat,DateAchat_Prevue,DateCirculation,ID_vehicule_occasion,Marque_occasion,Modele_occasion,Alimentation_occasion,Carrosserie_occasion,Puissance_occasion,categorie_commerciale_vehicule_occasion,qualification_vehicule_vert_occasion,valeur_a_neuf_vehicule_ocassion,groupe_tarification_vehicule_occasion,classe_tarification_vehicule_occasion,code_type_frequence_bdg_occasion,code_type_cout_bdg_occasion,code_vente_vehicule_occasion,code_type_frequence_rcm_occasion,code_type_frequence_rcc_occasion,code_type_frequence_dta_occasion,code_type_frequence_vol_occasion,Marque_vehicule_neuf,Modele_vehicule_neuf,Alimentation_vehicule_neuf,Carrosserie_vehicule_neuf,Puissance_vehicule_neuf,ID_vehicule_neuf,valeur_a_neuf_vehiculeNeuve,groupe_tarification_vehicule_Neuve,classe_tarification_vehicule_Neuve,puissance_reel_vehicule_Neuve,categorie_commerciale_vehicule_Neuve,code_type_frequence_rcm_Neuve,code_type_frequence_rcc_Neuve,code_type_cout_rcm_Neuve,code_type_frequence_dta_Neuve,qualification_vehicule_vert_Neuve,code_type_frequence_vol_Neuve,code_type_cout_vol_Neuve,code_type_frequence_bdg_Neuve,code_type_cout_bdg_Neuve,code_vente_vehicule_Neuve,ModeFinancement,Usage,KmParcours,CP_Stationnement,Ville_Stationnement,ResidenceType,TypeLocation,CP_Travail,Ville_Travail,nom_departement,code_departement,code_region,Type_Parking,TypeAssure,NbreAnneeAssure,Bonus,NbreAnneePossessionVeh,CtrActuel,AssureurActuel,NiveauProtection,Date_scraping
"	
MMA",439 €,13650,Vous comptez l'acheter,D'une voiture en remplacement,D'occasion,Non,Vous,Un homme,23/12/1996,27,Séparé(e),Taxi/VTC,02/2021,Non,,,Non,non,non,non,N/A,04/08/2025,08/2005,RE70120,RENAULT,MODUS,DIES,CLE,6,B2,0,13933,10,1,7,4,99,6,10,5,6,,,,,,,,,,,,,,,,,,,,,,L,1,2000,21400,21006,2,1,16250,16072,Côte-d'Or,21,27,P,P,3,0.85,0,E,88,E,13/12/2024
"	
AcommeAssure",635 €,13650,Vous comptez l'acheter,D'une voiture en remplacement,D'occasion,Non,Vous,Un homme,23/12/1996,27,Séparé(e),Taxi/VTC,02/2021,Non,,,Non,non,non,non,N/A,04/08/2025,08/2005,RE70120,RENAULT,MODUS,DIES,CLE,6,B2,0,13933,10,1,7,4,99,6,10,5,6,,,,,,,,,,,,,,,,,,,,,,L,1,2000,21400,21006,2,1,16250,16072,Côte-d'Or,21,27,P,P,3,0.85,0,E,88,E,13/12/2024
"	
MAAF Assurances",714 €,13650,Vous comptez l'acheter,D'une voiture en remplacement,D'occasion,Non,Vous,Un homme,23/12/1996,27,Séparé(e),Taxi/VTC,02/2021,Non,,,Non,non,non,non,N/A,04/08/2025,08/2005,RE70120,RENAULT,MODUS,DIES,CLE,6,B2,0,13933,10,1,7,4,99,6,10,5,6,,,,,,,,,,,,,,,,,,,,,,L,1,2000,21400,21006,2,1,16250,16072,Côte-d'Or,21,27,P,P,3,0.85,0,E,88,E,13/12/2024
"	
Groupe Admiral",472 €,13644,Vous comptez l'acheter,D'une première voiture,D'occasion,Non,Vous,Une femme,28/01/1964,60,Célibataire,Fonctionnaire autre,09/2017,Non,,,Non,non,non,non,N/A,03/01/2025,02/2005,BM62002,BMW,650,CARB,CPE,27,H2,0,84190,16,L,9,14,99,4,6,14,6,,,,,,,,,,,,,,,,,,,,,,D,1,10000,08130,08238,2,2,18100,18279,Ardennes,08,44,V,P,7,0.68,0,E,82,A,13/12/2024
"	
Groupe Vilavi",567 €,13644,Vous comptez l'acheter,D'une première voiture,D'occasion,Non,Vous,Une femme,28/01/1964,60,Célibataire,Fonctionnaire autre,09/2017,Non,,,Non,non,non,non,N/A,03/01/2025,02/2005,BM62002,BMW,650,CARB,CPE,27,H2,0,84190,16,L,9,14,99,4,6,14,6,,,,,,,,,,,,,,,,,,,,,,D,1,10000,08130,08238,2,2,18100,18279,Ardennes,08,44,V,P,7,0.68,0,E,82,A,13/12/2024
"	
Groupe Vilavi",607 €,13644,Vous comptez l'acheter,D'une première voiture,D'occasion,Non,Vous,Une femme,28/01/1964,60,Célibataire,Fonctionnaire autre,09/2017,Non,,,Non,non,non,non,N/A,03/01/2025,02/2005,BM62002,BMW,650,CARB,CPE,27,H2,0,84190,16,L,9,14,99,4,6,14,6,,,,,,,,,,,,,,,,,,,,,,D,1,10000,08130,08238,2,2,18100,18279,Ardennes,08,44,V,P,7,0.68,0,E,82,A,13/12/2024
"	
Groupe AXA",172 €,13648,Vous le possédez déjà,N/A,N/A,Non,Vous,Un homme,02/07/1979,45,Pacsé(e),VRP,09/1997,Non,17/09/1985,,Oui,1998,2000,2005,09/2015,,11/2005,AU19223,AUDI,A3,CARB,BER,17,M1,0,42790,16,7,7,8,99,4,5,11,9,,,,,,,,,,,,,,,,,,,,,,D,1,10000,67570,67066,1,2,71530,71081,Bas-Rhin,67,44,G,P,27,120,6,E,33,C,13/12/2024
"	
Groupe Admiral",336 €,13648,Vous le possédez déjà,N/A,N/A,Non,Vous,Un homme,02/07/1979,45,Pacsé(e),VRP,09/1997,Non,17/09/1985,,Oui,1998,2000,2005,09/2015,,11/2005,AU19223,AUDI,A3,CARB,BER,17,M1,0,42790,16,7,7,8,99,4,5,11,9,,,,,,,,,,,,,,,,,,,,,,D,1,10000,67570,67066,1,2,71530,71081,Bas-Rhin,67,44,G,P,27,120,6,E,33,C,13/12/2024
"	
Active Assurances",426 €,13648,Vous le possédez déjà,N/A,N/A,Non,Vous,Un homme,02/07/1979,45,Pacsé(e),VRP,09/1997,Non,17/09/1985,,Oui,1998,2000,2005,09/2015,,11/2005,AU19223,AUDI,A3,CARB,BER,17,M1,0,42790,16,7,7,8,99,4,5,11,9,,,,,,,,,,,,,,,,,,,,,,D,1,10000,67570,67066,1,2,71530,71081,Bas-Rhin,67,44,G,P,27,120,6,E,33,C,13/12/2024
"	
MAAF Assurances",521 €,13648,Vous le possédez déjà,N/A,N/A,Non,Vous,Un homme,02/07/1979,45,Pacsé(e),VRP,09/1997,Non,17/09/1985,,Oui,1998,2000,2005,09/2015,,11/2005,AU19223,AUDI,A3,CARB,BER,17,M1,0,42790,16,7,7,8,99,4,5,11,9,,,,,,,,,,,,,,,,,,,,,,D,1,10000,67570,67066,1,2,71530,71081,Bas-Rhin,67,44,G,P,27,120,6,E,33,C,13/12/2024
