Compagnie,Prime,ID,TypeBesoin,TypeBesoinDetails,AgeCar,OtherDriver,CarteGrise,Genre,DateNaissance,Age,SituationMatrimoniale,Profession,DateObtentionPermis,ConduiteAccompagné,DateNaissanceConjoint,DatePermisConjoint,Enfants_a_charge,Annee_Enfant_1,Annee_Enfant_2,Annee_Enfant_3,DateAchat,DateAchat_Prevue,DateCirculation,ID_vehicule_occasion,Marque_occasion,Modele_occasion,Alimentation_occasion,Carrosserie_occasion,Puissance_occasion,categorie_commerciale_vehicule_occasion,qualification_vehicule_vert_occasion,valeur_a_neuf_vehicule_ocassion,groupe_tarification_vehicule_occasion,classe_tarification_vehicule_occasion,code_type_frequence_bdg_occasion,code_type_cout_bdg_occasion,code_vente_vehicule_occasion,code_type_frequence_rcm_occasion,code_type_frequence_rcc_occasion,code_type_frequence_dta_occasion,code_type_frequence_vol_occasion,Marque_vehicule_neuf,Modele_vehicule_neuf,Alimentation_vehicule_neuf,Carrosserie_vehicule_neuf,Puissance_vehicule_neuf,ID_vehicule_neuf,valeur_a_neuf_vehiculeNeuve,groupe_tarification_vehicule_Neuve,classe_tarification_vehicule_Neuve,puissance_reel_vehicule_Neuve,categorie_commerciale_vehicule_Neuve,code_type_frequence_rcm_Neuve,code_type_frequence_rcc_Neuve,code_type_cout_rcm_Neuve,code_type_frequence_dta_Neuve,qualification_vehicule_vert_Neuve,code_type_frequence_vol_Neuve,code_type_cout_vol_Neuve,code_type_frequence_bdg_Neuve,code_type_cout_bdg_Neuve,code_vente_vehicule_Neuve,ModeFinancement,Usage,KmParcours,CP_Stationnement,Ville_Stationnement,ResidenceType,TypeLocation,CP_Travail,Ville_Travail,nom_departement,code_departement,code_region,Type_Parking,TypeAssure,NbreAnneeAssure,Bonus,NbreAnneePossessionVeh,CtrActuel,AssureurActuel,NiveauProtection,Date_scraping
"	
MMA",648 €,1305,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,12/07/2004,20,Marié(e),Fonctionnaire Défense/Intérieur,09/2022,Non,05/05/1962,04/2024,Non,non,non,non,10/2013,,07/2005,RE07700,RENAULT,CLIO,DIES,BER,4,B2,0,12850,8,A,7,6,99,7,9,6,5,,,,,,,,,,,,,,,,,,,,,,D,1,2000,76890,76602,1,2,68510,68197,Seine-Maritime,76,28,P,S,2,0.9,6,A,22,E,17/09/2024
"	
GMF",725 €,1305,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,12/07/2004,20,Marié(e),Fonctionnaire Défense/Intérieur,09/2022,Non,05/05/1962,04/2024,Non,non,non,non,10/2013,,07/2005,RE07700,RENAULT,CLIO,DIES,BER,4,B2,0,12850,8,A,7,6,99,7,9,6,5,,,,,,,,,,,,,,,,,,,,,,D,1,2000,76890,76602,1,2,68510,68197,Seine-Maritime,76,28,P,S,2,0.9,6,A,22,E,17/09/2024
"	
Groupe AXA",782 €,1305,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,12/07/2004,20,Marié(e),Fonctionnaire Défense/Intérieur,09/2022,Non,05/05/1962,04/2024,Non,non,non,non,10/2013,,07/2005,RE07700,RENAULT,CLIO,DIES,BER,4,B2,0,12850,8,A,7,6,99,7,9,6,5,,,,,,,,,,,,,,,,,,,,,,D,1,2000,76890,76602,1,2,68510,68197,Seine-Maritime,76,28,P,S,2,0.9,6,A,22,E,17/09/2024
"	
MAAF Assurances",859 €,1305,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,12/07/2004,20,Marié(e),Fonctionnaire Défense/Intérieur,09/2022,Non,05/05/1962,04/2024,Non,non,non,non,10/2013,,07/2005,RE07700,RENAULT,CLIO,DIES,BER,4,B2,0,12850,8,A,7,6,99,7,9,6,5,,,,,,,,,,,,,,,,,,,,,,D,1,2000,76890,76602,1,2,68510,68197,Seine-Maritime,76,28,P,S,2,0.9,6,A,22,E,17/09/2024
"	
Groupe Admiral",1 074 €,1305,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,12/07/2004,20,Marié(e),Fonctionnaire Défense/Intérieur,09/2022,Non,05/05/1962,04/2024,Non,non,non,non,10/2013,,07/2005,RE07700,RENAULT,CLIO,DIES,BER,4,B2,0,12850,8,A,7,6,99,7,9,6,5,,,,,,,,,,,,,,,,,,,,,,D,1,2000,76890,76602,1,2,68510,68197,Seine-Maritime,76,28,P,S,2,0.9,6,A,22,E,17/09/2024
"	
Assurpeople.com",1 140 €,1305,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,12/07/2004,20,Marié(e),Fonctionnaire Défense/Intérieur,09/2022,Non,05/05/1962,04/2024,Non,non,non,non,10/2013,,07/2005,RE07700,RENAULT,CLIO,DIES,BER,4,B2,0,12850,8,A,7,6,99,7,9,6,5,,,,,,,,,,,,,,,,,,,,,,D,1,2000,76890,76602,1,2,68510,68197,Seine-Maritime,76,28,P,S,2,0.9,6,A,22,E,17/09/2024
"	
Groupe AXA",944 €,1411,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,05/05/1956,68,Célibataire,Salarié,03/2023,Oui,,,Oui,2003,2012,2018,07/2013,,12/2005,CI36268,CITROEN,JUMPER,DIES,FGN,7,U2,0,22604,11,C,8,9,99,10,6,4,6,,,,,,,,,,,,,,,,,,,,,,T,3,25000,84390,84079,1,1,84100,84135,Vaucluse,84,93,P,P,1,0.95,6,E,79,E,17/09/2024
"	
ID MALUS",1 408 €,1411,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,05/05/1956,68,Célibataire,Salarié,03/2023,Oui,,,Oui,2003,2012,2018,07/2013,,12/2005,CI36268,CITROEN,JUMPER,DIES,FGN,7,U2,0,22604,11,C,8,9,99,10,6,4,6,,,,,,,,,,,,,,,,,,,,,,T,3,25000,84390,84079,1,1,84100,84135,Vaucluse,84,93,P,P,1,0.95,6,E,79,E,17/09/2024
"	
GMF",1 866 €,1411,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,05/05/1956,68,Célibataire,Salarié,03/2023,Oui,,,Oui,2003,2012,2018,07/2013,,12/2005,CI36268,CITROEN,JUMPER,DIES,FGN,7,U2,0,22604,11,C,8,9,99,10,6,4,6,,,,,,,,,,,,,,,,,,,,,,T,3,25000,84390,84079,1,1,84100,84135,Vaucluse,84,93,P,P,1,0.95,6,E,79,E,17/09/2024
"	
Active Assurances",2 096 €,1411,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,05/05/1956,68,Célibataire,Salarié,03/2023,Oui,,,Oui,2003,2012,2018,07/2013,,12/2005,CI36268,CITROEN,JUMPER,DIES,FGN,7,U2,0,22604,11,C,8,9,99,10,6,4,6,,,,,,,,,,,,,,,,,,,,,,T,3,25000,84390,84079,1,1,84100,84135,Vaucluse,84,93,P,P,1,0.95,6,E,79,E,17/09/2024
