Compagnie,Prime,ID,TypeBesoin,TypeBesoinDetails,AgeCar,OtherDriver,CarteGrise,Genre,DateNaissance,Age,SituationMatrimoniale,Profession,DateObtentionPermis,ConduiteAccompagné,DateNaissanceConjoint,DatePermisConjoint,Enfants_a_charge,Annee_Enfant_1,Annee_Enfant_2,Annee_Enfant_3,DateAchat,DateAchat_Prevue,DateCirculation,ID_vehicule_occasion,Marque_occasion,Modele_occasion,Alimentation_occasion,Carrosserie_occasion,Puissance_occasion,categorie_commerciale_vehicule_occasion,qualification_vehicule_vert_occasion,valeur_a_neuf_vehicule_ocassion,groupe_tarification_vehicule_occasion,classe_tarification_vehicule_occasion,code_type_frequence_bdg_occasion,code_type_cout_bdg_occasion,code_vente_vehicule_occasion,code_type_frequence_rcm_occasion,code_type_frequence_rcc_occasion,code_type_frequence_dta_occasion,code_type_frequence_vol_occasion,Marque_vehicule_neuf,Modele_vehicule_neuf,Alimentation_vehicule_neuf,Carrosserie_vehicule_neuf,Puissance_vehicule_neuf,ID_vehicule_neuf,valeur_a_neuf_vehiculeNeuve,groupe_tarification_vehicule_Neuve,classe_tarification_vehicule_Neuve,puissance_reel_vehicule_Neuve,categorie_commerciale_vehicule_Neuve,code_type_frequence_rcm_Neuve,code_type_frequence_rcc_Neuve,code_type_cout_rcm_Neuve,code_type_frequence_dta_Neuve,qualification_vehicule_vert_Neuve,code_type_frequence_vol_Neuve,code_type_cout_vol_Neuve,code_type_frequence_bdg_Neuve,code_type_cout_bdg_Neuve,code_vente_vehicule_Neuve,ModeFinancement,Usage,KmParcours,CP_Stationnement,Ville_Stationnement,ResidenceType,TypeLocation,CP_Travail,Ville_Travail,nom_departement,code_departement,code_region,Type_Parking,TypeAssure,NbreAnneeAssure,Bonus,NbreAnneePossessionVeh,CtrActuel,AssureurActuel,NiveauProtection,Date_scraping
"	
Groupe AXA",290 €,11508,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,18/09/1991,33,Marié(e),Salarié,08/2012,Oui,21/08/1966,,Non,non,non,non,05/2024,,02/2024,AU57061,AUDI,A3 IV,EE,BER,8,M1,0,44440,13,H,6,11,99,7,5,10,7,,,,,,,,,,,,,,,,,,,,,,C,1,2000,67220,67062,2,2,88400,88196,Bas-Rhin,67,44,V,P,12,0.51,0,E,22,D,19/09/2024
"	
MAAF Assurances",302 €,11508,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,18/09/1991,33,Marié(e),Salarié,08/2012,Oui,21/08/1966,,Non,non,non,non,05/2024,,02/2024,AU57061,AUDI,A3 IV,EE,BER,8,M1,0,44440,13,H,6,11,99,7,5,10,7,,,,,,,,,,,,,,,,,,,,,,C,1,2000,67220,67062,2,2,88400,88196,Bas-Rhin,67,44,V,P,12,0.51,0,E,22,D,19/09/2024
"	
GMF",366 €,11508,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,18/09/1991,33,Marié(e),Salarié,08/2012,Oui,21/08/1966,,Non,non,non,non,05/2024,,02/2024,AU57061,AUDI,A3 IV,EE,BER,8,M1,0,44440,13,H,6,11,99,7,5,10,7,,,,,,,,,,,,,,,,,,,,,,C,1,2000,67220,67062,2,2,88400,88196,Bas-Rhin,67,44,V,P,12,0.51,0,E,22,D,19/09/2024
"	
Groupe Admiral",408 €,11508,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,18/09/1991,33,Marié(e),Salarié,08/2012,Oui,21/08/1966,,Non,non,non,non,05/2024,,02/2024,AU57061,AUDI,A3 IV,EE,BER,8,M1,0,44440,13,H,6,11,99,7,5,10,7,,,,,,,,,,,,,,,,,,,,,,C,1,2000,67220,67062,2,2,88400,88196,Bas-Rhin,67,44,V,P,12,0.51,0,E,22,D,19/09/2024
"	
Groupe Allianz",512 €,11508,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,18/09/1991,33,Marié(e),Salarié,08/2012,Oui,21/08/1966,,Non,non,non,non,05/2024,,02/2024,AU57061,AUDI,A3 IV,EE,BER,8,M1,0,44440,13,H,6,11,99,7,5,10,7,,,,,,,,,,,,,,,,,,,,,,C,1,2000,67220,67062,2,2,88400,88196,Bas-Rhin,67,44,V,P,12,0.51,0,E,22,D,19/09/2024
"	
Active Assurances",516 €,11508,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,18/09/1991,33,Marié(e),Salarié,08/2012,Oui,21/08/1966,,Non,non,non,non,05/2024,,02/2024,AU57061,AUDI,A3 IV,EE,BER,8,M1,0,44440,13,H,6,11,99,7,5,10,7,,,,,,,,,,,,,,,,,,,,,,C,1,2000,67220,67062,2,2,88400,88196,Bas-Rhin,67,44,V,P,12,0.51,0,E,22,D,19/09/2024
"	
Groupe Vilavi",536 €,11508,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,18/09/1991,33,Marié(e),Salarié,08/2012,Oui,21/08/1966,,Non,non,non,non,05/2024,,02/2024,AU57061,AUDI,A3 IV,EE,BER,8,M1,0,44440,13,H,6,11,99,7,5,10,7,,,,,,,,,,,,,,,,,,,,,,C,1,2000,67220,67062,2,2,88400,88196,Bas-Rhin,67,44,V,P,12,0.51,0,E,22,D,19/09/2024
"	
Groupe Vilavi",577 €,11508,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,18/09/1991,33,Marié(e),Salarié,08/2012,Oui,21/08/1966,,Non,non,non,non,05/2024,,02/2024,AU57061,AUDI,A3 IV,EE,BER,8,M1,0,44440,13,H,6,11,99,7,5,10,7,,,,,,,,,,,,,,,,,,,,,,C,1,2000,67220,67062,2,2,88400,88196,Bas-Rhin,67,44,V,P,12,0.51,0,E,22,D,19/09/2024
"	
AMV",898 €,11508,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,18/09/1991,33,Marié(e),Salarié,08/2012,Oui,21/08/1966,,Non,non,non,non,05/2024,,02/2024,AU57061,AUDI,A3 IV,EE,BER,8,M1,0,44440,13,H,6,11,99,7,5,10,7,,,,,,,,,,,,,,,,,,,,,,C,1,2000,67220,67062,2,2,88400,88196,Bas-Rhin,67,44,V,P,12,0.51,0,E,22,D,19/09/2024
"	
Groupe AXA",386 €,11511,Vous le possédez déjà,N/A,N/A,Non,Vous,Un homme,09/04/1993,31,Séparé(e),Fonctionnaire autre,03/2019,Non,,,Non,non,non,non,04/2008,,02/2005,BM49129,BMW,330,DIES,BRK,14,M2,0,43550,14,H,12,12,99,9,5,13,8,,,,,,,,,,,,,,,,,,,,,,L,3,25000,60360,60608,1,1,65120,65295,Oise,60,32,V,P,5,0.76,6,E,78,C,19/09/2024
