Compagnie,Prime,ID,TypeBesoin,TypeBesoinDetails,AgeCar,OtherDriver,CarteGrise,Genre,DateNaissance,Age,SituationMatrimoniale,Profession,DateObtentionPermis,ConduiteAccompagné,DateNaissanceConjoint,DatePermisConjoint,Enfants_a_charge,Annee_Enfant_1,Annee_Enfant_2,Annee_Enfant_3,DateAchat,DateAchat_Prevue,DateCirculation,ID_vehicule_occasion,Marque_occasion,Modele_occasion,Alimentation_occasion,Carrosserie_occasion,Puissance_occasion,categorie_commerciale_vehicule_occasion,qualification_vehicule_vert_occasion,valeur_a_neuf_vehicule_ocassion,groupe_tarification_vehicule_occasion,classe_tarification_vehicule_occasion,code_type_frequence_bdg_occasion,code_type_cout_bdg_occasion,code_vente_vehicule_occasion,code_type_frequence_rcm_occasion,code_type_frequence_rcc_occasion,code_type_frequence_dta_occasion,code_type_frequence_vol_occasion,Marque_vehicule_neuf,Modele_vehicule_neuf,Alimentation_vehicule_neuf,Carrosserie_vehicule_neuf,Puissance_vehicule_neuf,ID_vehicule_neuf,valeur_a_neuf_vehiculeNeuve,groupe_tarification_vehicule_Neuve,classe_tarification_vehicule_Neuve,puissance_reel_vehicule_Neuve,categorie_commerciale_vehicule_Neuve,code_type_frequence_rcm_Neuve,code_type_frequence_rcc_Neuve,code_type_cout_rcm_Neuve,code_type_frequence_dta_Neuve,qualification_vehicule_vert_Neuve,code_type_frequence_vol_Neuve,code_type_cout_vol_Neuve,code_type_frequence_bdg_Neuve,code_type_cout_bdg_Neuve,code_vente_vehicule_Neuve,ModeFinancement,Usage,KmParcours,CP_Stationnement,Ville_Stationnement,ResidenceType,TypeLocation,CP_Travail,Ville_Travail,nom_departement,code_departement,code_region,Type_Parking,TypeAssure,NbreAnneeAssure,Bonus,NbreAnneePossessionVeh,CtrActuel,AssureurActuel,NiveauProtection,Date_scraping
"	
Groupe Admiral",359 €,16982,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,06/12/1991,33,Séparé(e),Salarié,02/2022,Non,,,Non,non,non,non,11/2017,,11/2016,CI53038,CITROEN,C5 II,CARB,BER,9,M2,0,32000,13,5,6,11,98,10,6,10,4,,,,,,,,,,,,,,,,,,,,,,D,1,5000,80250,80407,1,1,81470,81205,Somme,80,32,P,P,2,0.9,6,E,84,D,18/12/2024
"	
Groupe AXA",513 €,16982,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,06/12/1991,33,Séparé(e),Salarié,02/2022,Non,,,Non,non,non,non,11/2017,,11/2016,CI53038,CITROEN,C5 II,CARB,BER,9,M2,0,32000,13,5,6,11,98,10,6,10,4,,,,,,,,,,,,,,,,,,,,,,D,1,5000,80250,80407,1,1,81470,81205,Somme,80,32,P,P,2,0.9,6,E,84,D,18/12/2024
"	
GMF",688 €,16982,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,06/12/1991,33,Séparé(e),Salarié,02/2022,Non,,,Non,non,non,non,11/2017,,11/2016,CI53038,CITROEN,C5 II,CARB,BER,9,M2,0,32000,13,5,6,11,98,10,6,10,4,,,,,,,,,,,,,,,,,,,,,,D,1,5000,80250,80407,1,1,81470,81205,Somme,80,32,P,P,2,0.9,6,E,84,D,18/12/2024
"	
MMA",736 €,16982,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,06/12/1991,33,Séparé(e),Salarié,02/2022,Non,,,Non,non,non,non,11/2017,,11/2016,CI53038,CITROEN,C5 II,CARB,BER,9,M2,0,32000,13,5,6,11,98,10,6,10,4,,,,,,,,,,,,,,,,,,,,,,D,1,5000,80250,80407,1,1,81470,81205,Somme,80,32,P,P,2,0.9,6,E,84,D,18/12/2024
"	
MAAF Assurances",794 €,16982,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,06/12/1991,33,Séparé(e),Salarié,02/2022,Non,,,Non,non,non,non,11/2017,,11/2016,CI53038,CITROEN,C5 II,CARB,BER,9,M2,0,32000,13,5,6,11,98,10,6,10,4,,,,,,,,,,,,,,,,,,,,,,D,1,5000,80250,80407,1,1,81470,81205,Somme,80,32,P,P,2,0.9,6,E,84,D,18/12/2024
"	
SOS Malus",837 €,16982,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,06/12/1991,33,Séparé(e),Salarié,02/2022,Non,,,Non,non,non,non,11/2017,,11/2016,CI53038,CITROEN,C5 II,CARB,BER,9,M2,0,32000,13,5,6,11,98,10,6,10,4,,,,,,,,,,,,,,,,,,,,,,D,1,5000,80250,80407,1,1,81470,81205,Somme,80,32,P,P,2,0.9,6,E,84,D,18/12/2024
"	
Meilleurtaux Assurances",845 €,16982,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,06/12/1991,33,Séparé(e),Salarié,02/2022,Non,,,Non,non,non,non,11/2017,,11/2016,CI53038,CITROEN,C5 II,CARB,BER,9,M2,0,32000,13,5,6,11,98,10,6,10,4,,,,,,,,,,,,,,,,,,,,,,D,1,5000,80250,80407,1,1,81470,81205,Somme,80,32,P,P,2,0.9,6,E,84,D,18/12/2024
"	
Assurpeople.com",1 320 €,16982,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,06/12/1991,33,Séparé(e),Salarié,02/2022,Non,,,Non,non,non,non,11/2017,,11/2016,CI53038,CITROEN,C5 II,CARB,BER,9,M2,0,32000,13,5,6,11,98,10,6,10,4,,,,,,,,,,,,,,,,,,,,,,D,1,5000,80250,80407,1,1,81470,81205,Somme,80,32,P,P,2,0.9,6,E,84,D,18/12/2024
"	
PEYRAC ASSURANCES",1 660 €,16982,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,06/12/1991,33,Séparé(e),Salarié,02/2022,Non,,,Non,non,non,non,11/2017,,11/2016,CI53038,CITROEN,C5 II,CARB,BER,9,M2,0,32000,13,5,6,11,98,10,6,10,4,,,,,,,,,,,,,,,,,,,,,,D,1,5000,80250,80407,1,1,81470,81205,Somme,80,32,P,P,2,0.9,6,E,84,D,18/12/2024
"	
Groupe Vilavi",381 €,16985,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,19/02/1991,33,Marié(e),Agriculteur,07/2017,Non,11/12/1993,07/2014,Non,non,non,non,06/2024,,02/2024,BM84068,BMW,SERIE 1 III,CARB,BER,6,M1,0,35250,11,F,8,12,99,9,6,11,5,,,,,,,,,,,,,,,,,,,,,,T,1,2000,77540,77264,1,2,76660,76553,Seine-et-Marne,77,11,V,S,7,0.68,0,A,34,C,18/12/2024
"	
MMA",402 €,16985,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,19/02/1991,33,Marié(e),Agriculteur,07/2017,Non,11/12/1993,07/2014,Non,non,non,non,06/2024,,02/2024,BM84068,BMW,SERIE 1 III,CARB,BER,6,M1,0,35250,11,F,8,12,99,9,6,11,5,,,,,,,,,,,,,,,,,,,,,,T,1,2000,77540,77264,1,2,76660,76553,Seine-et-Marne,77,11,V,S,7,0.68,0,A,34,C,18/12/2024
"	
Groupe Admiral",408 €,16985,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,19/02/1991,33,Marié(e),Agriculteur,07/2017,Non,11/12/1993,07/2014,Non,non,non,non,06/2024,,02/2024,BM84068,BMW,SERIE 1 III,CARB,BER,6,M1,0,35250,11,F,8,12,99,9,6,11,5,,,,,,,,,,,,,,,,,,,,,,T,1,2000,77540,77264,1,2,76660,76553,Seine-et-Marne,77,11,V,S,7,0.68,0,A,34,C,18/12/2024
"	
Groupe Vilavi",415 €,16985,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,19/02/1991,33,Marié(e),Agriculteur,07/2017,Non,11/12/1993,07/2014,Non,non,non,non,06/2024,,02/2024,BM84068,BMW,SERIE 1 III,CARB,BER,6,M1,0,35250,11,F,8,12,99,9,6,11,5,,,,,,,,,,,,,,,,,,,,,,T,1,2000,77540,77264,1,2,76660,76553,Seine-et-Marne,77,11,V,S,7,0.68,0,A,34,C,18/12/2024
"	
MAAF Assurances",453 €,16985,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,19/02/1991,33,Marié(e),Agriculteur,07/2017,Non,11/12/1993,07/2014,Non,non,non,non,06/2024,,02/2024,BM84068,BMW,SERIE 1 III,CARB,BER,6,M1,0,35250,11,F,8,12,99,9,6,11,5,,,,,,,,,,,,,,,,,,,,,,T,1,2000,77540,77264,1,2,76660,76553,Seine-et-Marne,77,11,V,S,7,0.68,0,A,34,C,18/12/2024
"	
GMF",485 €,16985,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,19/02/1991,33,Marié(e),Agriculteur,07/2017,Non,11/12/1993,07/2014,Non,non,non,non,06/2024,,02/2024,BM84068,BMW,SERIE 1 III,CARB,BER,6,M1,0,35250,11,F,8,12,99,9,6,11,5,,,,,,,,,,,,,,,,,,,,,,T,1,2000,77540,77264,1,2,76660,76553,Seine-et-Marne,77,11,V,S,7,0.68,0,A,34,C,18/12/2024
"	
Meilleurtaux Assurances",500 €,16985,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,19/02/1991,33,Marié(e),Agriculteur,07/2017,Non,11/12/1993,07/2014,Non,non,non,non,06/2024,,02/2024,BM84068,BMW,SERIE 1 III,CARB,BER,6,M1,0,35250,11,F,8,12,99,9,6,11,5,,,,,,,,,,,,,,,,,,,,,,T,1,2000,77540,77264,1,2,76660,76553,Seine-et-Marne,77,11,V,S,7,0.68,0,A,34,C,18/12/2024
"	
Groupe Allianz",613 €,16985,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,19/02/1991,33,Marié(e),Agriculteur,07/2017,Non,11/12/1993,07/2014,Non,non,non,non,06/2024,,02/2024,BM84068,BMW,SERIE 1 III,CARB,BER,6,M1,0,35250,11,F,8,12,99,9,6,11,5,,,,,,,,,,,,,,,,,,,,,,T,1,2000,77540,77264,1,2,76660,76553,Seine-et-Marne,77,11,V,S,7,0.68,0,A,34,C,18/12/2024
"	
AMV",649 €,16985,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,19/02/1991,33,Marié(e),Agriculteur,07/2017,Non,11/12/1993,07/2014,Non,non,non,non,06/2024,,02/2024,BM84068,BMW,SERIE 1 III,CARB,BER,6,M1,0,35250,11,F,8,12,99,9,6,11,5,,,,,,,,,,,,,,,,,,,,,,T,1,2000,77540,77264,1,2,76660,76553,Seine-et-Marne,77,11,V,S,7,0.68,0,A,34,C,18/12/2024
"	
Groupe AXA",674 €,16985,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,19/02/1991,33,Marié(e),Agriculteur,07/2017,Non,11/12/1993,07/2014,Non,non,non,non,06/2024,,02/2024,BM84068,BMW,SERIE 1 III,CARB,BER,6,M1,0,35250,11,F,8,12,99,9,6,11,5,,,,,,,,,,,,,,,,,,,,,,T,1,2000,77540,77264,1,2,76660,76553,Seine-et-Marne,77,11,V,S,7,0.68,0,A,34,C,18/12/2024
"	
Groupe Admiral",1 585 €,16986,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,01/12/2003,21,Pacsé(e),Salarié,04/2024,Non,19/11/1939,,Non,non,non,non,05/2024,,03/2024,KA27006,KIA,SPORTAGE V,GH,VTC,7,H,0,33790,14,E,7,14,99,13,3,6,2,,,,,,,,,,,,,,,,,,,,,,C,1,7000,14400,14700,2,1,11420,11283,Calvados,14,28,C,P,0,1,0,E,19,E,18/12/2024
